schoolLocation,schoolName,schoolType,schoolLevel,gradeRange
Sault Ste Marie,Anna McCrea Public School,Public,Elementary,JK-8
Bruce Mines,Arthur Henderson Public School,Public,Elementary,JK-3
Sault Ste Marie,Ben R McMullin Public School,Public,Elementary,JK-8
Blind River,Blind River Public School,Public,Elementary,JK-8
Sault Ste Marie,Boreal French Immersion Public School,Public,Elementary,JK-8
Desbarats,Central Algoma Intermediate School,Public,Elementary,7-8
Desbarats,Central Algoma Public School,Public,Elementary,JK-6
Desbarats,Central Algoma Secondary School,Public,Secondary,9-12
Elliot Lake,Central Avenue Public School,Public,Elementary,JK-8
Chapleau,Chapleau High School,Public,Secondary,9-12
Chapleau,Chapleau Public School,Public,Elementary,JK-8
Sault Ste Marie,East View Public School,Public,Elementary,JK-8
Echo Bay,Echo Bay Central Public School,Public,Elementary,JK-6
Elliot Lake,Elliot Lake Secondary School,Public,Secondary,9-12
Elliot Lake,Esten Park Public School,Public,Elementary,JK-8
Sault Ste Marie,Francis H Clergue Public School,Public,Elementary,JK-8
Sault Ste Marie,Grand View Public School,Public,Elementary,JK-8
Sault Ste Marie,Greenwood Public School,Public,Elementary,JK-8
Sault Ste Marie,H M Robbins Public School,Public,Elementary,JK-8
Hornepayne,Hornepayne High School,Public,Secondary,9-12
Hornepayne,Hornepayne Public School,Public,Elementary,JK-8
Sault Ste Marie,Isabel Fletcher Public School,Public,Elementary,JK-6
Sault Ste Marie,Kiwedin Public School,Public,Elementary,JK-6
Sault Ste Marie,Korah Collegiate and Vocational School,Public,Secondary,9-12
Sault Ste Marie,Korah Intermediate School,Public,Elementary,7-8
Wawa,Michipicoten High School,Public,Secondary,9-12
Missanabie,Missarenda Consolidated Public School,Public,Elementary,JK-8
Missanabie,Missarenda Secondary School,Public,Secondary,9-12
Goulais River,Mountain View Public School,Public,Elementary,JK-8
Elliot Lake,North Shore Adolescent Education School,Public,Secondary,9-12
Sault Ste Marie,Northern Heights Public School,Public,Elementary,JK-8
Sault Ste Marie,Parkland Public School,Public,Elementary,JK-8
Sault Ste Marie,Pinewood Public School,Public,Elementary,JK-8
Sault Ste Marie,Queen Elizabeth Public School,Public,Elementary,JK-8
Sault Ste Marie,R M Moore Public School,Public,Elementary,JK-8
Sault Ste Marie,River View Public School,Public,Elementary,JK-8
Serpent River,Rockhaven School forExceptional Children Public School,Public,Elementary,JK-8
Wawa,Sir James Dunn Public School,Public,Elementary,JK-8
Richards Landing,St Joseph Island Central Public School,Public,Elementary,JK-6
Sault Ste. Marie,Superior Heights Collegiate and Vocational School,Public,Secondary,9-12
Sault Ste Marie,Superior Heights Community Education,Public,Elementary,7-8
Sault Ste. Marie,Superior Heights Intermediate School,Public,Elementary,7-8
Sault Ste Marie,Tarentorus Public School,Public,Elementary,JK-8
Thessalon,Thessalon Public School,Public,Elementary,JK-6
Blind River,W C Eaket Secondary School,Public,Secondary,9-12
Sault Ste Marie,White Pines Collegiate and Vocational School,Public,Secondary,9-12
SAULT STE. MARIE,White Pines Intermediate School,Public,Elementary,7-8
Kingston,Archbishop O'Sullivan Catholic School,Catholic,Elementary,JK-8
Kingston,Cathedrale Catholic School,Catholic,Elementary,JK-8
Belleville,Georges Vanier Catholic School,Catholic,Elementary,JK-8
Kingston,Holy Cross Catholic Secondary School,Catholic,Secondary,9-12
Kingston,Holy Name Catholic School,Catholic,Elementary,JK-8
Marysville,Holy Name of Mary Catholic School,Catholic,Elementary,JK-8
Belleville,Holy Rosary Catholic School,Catholic,Elementary,JK-8
Napanee,J J O'Neill Catholic School,Catholic,Elementary,JK-8
Kingston,John XXIII Catholic School,Catholic,Elementary,JK-8
Kingston,Mother Teresa Catholic School,Catholic,Elementary,JK-8
Belleville,Nicholson Catholic College,Catholic,Secondary,9-12
Belleville,Our Lady of Fatima Catholic School,Catholic,Elementary,JK-8
Kingston,Our Lady of Lourdes Catholic School,Catholic,Elementary,JK-8
Bancroft,Our Lady of Mercy Catholic School,Catholic,Elementary,JK-8
Amherstview,Our Lady of Mount Carmel Catholic School,Catholic,Elementary,JK-8
Kingston,Regiopolis/Notre-Dame Catholic High School,Catholic,Secondary,9-12
Marmora,Sacred Heart Catholic School,Catholic,Elementary,JK-8
Batawa,Sacred Heart Catholic School,Catholic,Elementary,JK-8
Wolfe Island,Sacred Heart Catholic School,Catholic,Elementary,JK-8
Tweed,St Carthagh Catholic School,Catholic,Elementary,JK-8
Kingston,St Francis of Assisi Catholic School,Catholic,Elementary,JK-8
Picton,St Gregory Catholic School,Catholic,Elementary,JK-8
Sharbot Lake,St James Major,Catholic,Elementary,JK-8
Belleville,St Joseph Catholic School,Catholic,Elementary,JK-8
Kingston,St Joseph School,Catholic,Elementary,JK-5
Kingston,St Marguerite Bourgeoys Catholic School,Catholic,Elementary,JK-8
Kingston,St Martha Catholic School,Catholic,Elementary,JK-8
Whitney,St Martin of Tours Catholic School,Catholic,Elementary,JK-8
Trenton,St Mary Catholic School,Catholic,Elementary,JK-6
Shannonville,St Mary Catholic School,Catholic,Elementary,JK-8
Belleville,St Michael Catholic School,Catholic,Elementary,JK-8
Erinsville,St Patrick Catholic School,Catholic,Elementary,JK-8
Harrowsmith,St Patrick Catholic School,Catholic,Elementary,JK-8
Trenton,St Paul Catholic Elementary School,Catholic,Elementary,7-8
Kingston,St Paul Catholic School,Catholic,Elementary,JK-8
Trenton,St Paul Catholic Secondary School,Catholic,Secondary,9-12
Trenton,St Peter Catholic School,Catholic,Elementary,JK-8
Belleville,St Theresa Catholic Secondary School,Catholic,Secondary,9-12
Kingston,St Thomas More Catholic School,Catholic,Elementary,JK-8
Stratford,Anne Hathaway Public School,Public,Elementary,JK-6
Clinton,Avon Maitland District E-learning Centre,Public,Secondary,9-12
Stratford,Avon Public School,Public,Elementary,JK-6
Stratford,Bedford Public School,Public,Elementary,JK-6
Hensall,Bluewater Coast Elementary Public School,Public,Elementary,JK-6
Lucknow,Brookside Public School,Public,Elementary,JK-8
Clinton,Central Huron Secondary School,Public,Secondary,9-12
Sebringville,Central Perth Elementary School,Public,Elementary,JK-8
Clinton,Clinton Public School,Public,Elementary,JK-8
St Pauls,Downie Central Public School,Public,Elementary,JK-8
Atwood,Elma Township Public School,Public,Elementary,JK-8
Exeter,Exeter Elementary School,Public,Elementary,JK-6
Wingham,F E Madill Secondary School,Public,Secondary,9-12
Wingham,F. E. Madill Elementary,Public,Elementary,7-8
Goderich,GDCI - Elementary,Public,Elementary,7-8
Goderich,Goderich District Collegiate Institute,Public,Secondary,9-12
Goderich,Goderich Public School,Public,Elementary,JK-6
Stratford,Hamlet Public School,Public,Elementary,JK-6
Gorrie,Howick Central Public School,Public,Elementary,JK-8
Londesborough,Hullett Central Public School,Public,Elementary,JK-8
Brucefield,Huron Centennial Public School,Public,Elementary,JK-8
Listowel,Listowel District Secondary School,Public,Secondary,9-12
Listowel,Listowel Eastdale Public School,Public,Elementary,JK-6
St Marys,Little Falls Public School,Public,Elementary,JK-6
Wingham,Maitland River Elementary Public School,Public,Elementary,JK-6
Milverton,Milverton Public School,Public,Elementary,JK-8
Mitchell,Mitchell District Elementary Public School,Public,Elementary,7-8
Mitchell,Mitchell District High School,Public,Secondary,9-12
Newton,Mornington Central Public School,Public,Elementary,JK-8
Stratford,North Easthope Public School,Public,Elementary,JK-8
Listowel,North Perth Westfield Elementary School,Public,Elementary,JK-8
Ethel,North Woods Elementary School,Public,Elementary,JK-6
Stratford,Romeo Public School,Public,Elementary,JK-6
Seaforth,Seaforth Public School,Public,Elementary,JK-8
Stratford,Shakespeare Public School,Public,Elementary,JK-6
Exeter,South Huron District High School,Public,Secondary,9-12
Exeter,South Huron Elementary Public School,Public,Elementary,7-8
St Marys,South Perth Centennial Public School,Public,Elementary,JK-8
Shakespeare,Sprucedale Public School,Public,Elementary,JK-8
St Marys,St Marys D.C. & V. I. High School,Public,Secondary,9-12
St. Marys,St Marys D.C. & V.I. - Elementary Elementary Public School,Public,Elementary,7-8
Dashwood,Stephen Central Public School,Public,Elementary,JK-6
Stratford,Stratford Central Public School,Public,Elementary,7-8
Stratford,Stratford Central Secondary School,Public,Secondary,9-12
Stratford,Stratford District Secondary School,Public,Secondary,9-12
Stratford,Stratford Intermediate School,Public,Elementary,7-8
Stratford,Stratford Northwestern Public School,Public,Elementary,7-8
Stratford,Stratford Northwestern Secondary School,Public,Secondary,9-12
Mitchell,Upper Thames Elementary School,Public,Elementary,JK-8
Toronto,Bloorview School Authority,Hospital,Elementary,JK-8
Owen Sound,Alexandra Community School,Public,Elementary,JK-8
Sauble Beach,Amabel-Sauble Community School,Public,Elementary,JK-8
Tara,Arran Tara Elementary School,Public,Elementary,JK-8
Thornbury,Beaver Valley Community School,Public,Elementary,JK-8
Markdale,Beavercrest Community School,Public,Elementary,JK-8
Lion s Head,Bruce Peninsula District School,Public,Elementary,JK-8
Lion s Head,Bruce Peninsula District School,Public,Secondary,9-12
Chesley,Chesley District Community School,Public,Elementary,JK-8
Hanover,Dawnview Public School,Public,Elementary,JK-6
Dundalk,Dundalk & Proton Community School,Public,Elementary,JK-2
Owen Sound,East Ridge Community School,Public,Elementary,JK-8
Holstein,Egremont Community School,Public,Elementary,JK-8
Kincardine,Elgin Market Public School,Public,Elementary,JK-8
Southampton,G C Huston Public School,Public,Elementary,JK-8
Meaford,Georgian Bay Community School,Public,Elementary,4-8
Meaford,Georgian Bay Community School Secondary School,Public,Secondary,9-12
Flesherton,Grey Highlands Secondary School,Public,Secondary,9-12
Hanover,Hanover Heights Community School,Public,Elementary,JK-6
Hepworth,Hepworth Central Public School,Public,Elementary,JK-8
Dundalk,Highpoint Community Elementary School,Public,Elementary,1-8
Teeswater,Hillcrest Central School,Public,Elementary,JK-8
Owen Sound,Hillcrest Elementary School,Public,Elementary,JK-8
Holland Centre,Holland-Chatsworth Central School,Public,Elementary,JK-8
Kincardine,Huron Heights Public School,Public,Elementary,1-8
Hanover,John Diefenbaker Senior School,Public,Elementary,7-8
Hanover,John Diefenbaker Senior School,Public,Secondary,9-12
Owen Sound,Keppel-Sarawak Elementary School,Public,Elementary,JK-6
Kincardine,Kincardine District Secondary School,Public,Secondary,9-12
Kincardine,Kincardine District Senior School,Public,Elementary,7-8
Kincardine,Kincardine Township-Tiverton Public School,Public,Elementary,JK-3
Lucknow,Lucknow Central Public School,Public,Elementary,JK-8
Flesherton,Macphail Memorial Elementary School,Public,Elementary,JK-8
Mildmay,Mildmay-Carrick Central School,Public,Elementary,JK-8
Ayton,Normanby Community School,Public,Elementary,JK-8
Port Elgin,Northport Elementary School,Public,Elementary,JK-8
Maxwell,Osprey Central School,Public,Elementary,JK-8
Owen Sound,Owen Sound District Secondary School Secondary School,Public,Secondary,9-12
Paisley,Paisley Central School,Public,Elementary,JK-8
Wiarton,Peninsula Shores District School,Public,Elementary,JK-8
Wiarton,Peninsula Shores District School,Public,Secondary,9-12
Port Elgin,Port Elgin-Saugeen Central School,Public,Elementary,JK-8
Ripley,Ripley-Huron Community - Junior Campus School,Public,Elementary,JK-8
Port Elgin,Saugeen District Secondary School,Public,Secondary,9-12
Port Elgin,Saugeen District Senior School,Public,Elementary,7-8
Durham,Spruce Ridge Community School,Public,Elementary,JK-8
Tobermory,St Edmunds Public School,Public,Elementary,JK-3
Meaford,St Vincent-Euphrasia Elementary School,Public,Elementary,JK-3
Chatsworth,Sullivan Community School,Public,Elementary,JK-8
Walkerton,Walkerton District Community School,Public,Elementary,JK-8
Walkerton,Walkerton District Community School,Public,Secondary,9-12
Brantford,Assumption College School High School,Catholic,Secondary,9-12
Burford,Blessed Sacrament School,Catholic,Elementary,JK-8
Brantford,Christ the King School,Catholic,Elementary,JK-8
Brantford,Holy Cross School,Catholic,Elementary,JK-8
Paris,Holy Family School,Catholic,Elementary,JK-8
Simcoe,Holy Trinity Catholic High School,Catholic,Secondary,9-12
BRANTFORD,Jean Vanier Catholic Elementary School,Catholic,Elementary,JK-8
Caledonia,Notre Dame Catholic Catholic Elementary School,Catholic,Elementary,JK-8
Brantford,Notre Dame School,Catholic,Elementary,JK-8
Courtland,Our Lady of Fatima School,Catholic,Elementary,JK-8
Brantford,Our Lady of Providence Catholic Elementary School,Catholic,Elementary,JK-8
Brantford,Resurrection School,Catholic,Elementary,JK-8
PARIS,Sacred Heart Catholic Elementary School,Catholic,Elementary,JK-8
Langton,Sacred Heart School,Catholic,Elementary,JK-8
Brantford,St John's College,Catholic,Secondary,9-12
Brantford,St. Basil Catholic Elementary School,Catholic,Elementary,JK-8
Waterford,St. Bernard of Clairvaux School,Catholic,Elementary,JK-8
Port Dover,St. Cecilia's School,Catholic,Elementary,JK-8
Delhi,St. Frances Cabrini School,Catholic,Elementary,JK-8
Brantford,St. Gabriel Catholic Catholic Elementary School,Catholic,Elementary,JK-8
Simcoe,St. Joseph's School,Catholic,Elementary,JK-8
Brantford,St. Leo School,Catholic,Elementary,JK-8
Hagersville,St. Mary's School,Catholic,Elementary,JK-8
SIMCOE,St. Michael's C School,Catholic,Elementary,JK-8
Dunnville,St. Michael's School,Catholic,Elementary,JK-8
Brantford,St. Patrick School,Catholic,Elementary,JK-8
Caledonia,St. Patrick's School,Catholic,Elementary,JK-8
Brantford,St. Peter School,Catholic,Elementary,JK-8
Brantford,St. Pius X Catholic Elementary School,Catholic,Elementary,JK-8
Cayuga,St. Stephen's School,Catholic,Elementary,JK-8
Brantford,St. Theresa School,Catholic,Elementary,JK-8
Formosa,Ecole Immaculee-Conception Separate School,Catholic,Elementary,JK-8
Hanover,Holy Family Separate School,Catholic,Elementary,JK-8
Chepstow,Mary Immaculate Community School,Catholic,Elementary,JK-8
Owen Sound,Notre Dame Catholic School,Catholic,Elementary,1-8
Walkerton,Sacred Heart High School,Catholic,Secondary,9-12
Mildmay,Sacred Heart School,Catholic,Elementary,JK-8
Teeswater,Sacred Heart Separate School,Catholic,Elementary,JK-8
Kincardine,St Anthony's Separate School,Catholic,Elementary,JK-8
Owen Sound,St Basil's Separate School,Catholic,Elementary,JK-2
PORT ELGIN,St Joseph's School,Catholic,Elementary,JK-8
Owen Sound,St Mary's High School,Catholic,Secondary,9-12
Durham,St Peter's & St Paul's Separate School,Catholic,Elementary,JK-8
Walkerton,St Teresa of Calcutta Catholic School,Catholic,Elementary,JK-8
Cornwall,Bishop Macdonell Separate School,Catholic,Elementary,JK-6
Kemptville,Holy Cross School,Catholic,Elementary,JK-6
Almonte,Holy Name of Mary Separate School,Catholic,Elementary,JK-8
Cornwall,Holy Trinity Catholic Elementary School,Catholic,Elementary,7-8
Cornwall,Holy Trinity Catholic Secondary School,Catholic,Secondary,9-12
Williamstown,Iona Academy,Catholic,Elementary,JK-8
Brockville,J L Jordan Separate School,Catholic,Elementary,JK-6
Russell,Mother Teresa Catholic School,Catholic,Elementary,JK-6
Carleton Place,Notre Dame Catholic High School,Catholic,Secondary,9-12
Carleton Place,Notre Dame Catholic Separate School,Catholic,Elementary,7-8
Ingleside,Our Lady of Good Counsel Separate School,Catholic,Elementary,JK-8
Hammond,Pope John Paul II Regional Elementary School,Catholic,Elementary,JK-6
Cornwall,Sacred Heart School,Catholic,Elementary,JK-6
Lanark,Sacred Heart of Jesus Separate School,Catholic,Elementary,JK-8
St. Andrew's West,St Andrew's Separate School,Catholic,Elementary,JK-8
Cornwall,St Anne's School,Catholic,Elementary,JK-6
Westport,St Edward's School,Catholic,Elementary,JK-8
Alexandria,St Finnan's Catholic School,Catholic,Elementary,JK-8
Hammond,St Francis Xavier Catholic High School,Catholic,Secondary,9-12
Hammond,St Francis Xavier Elementary School,Catholic,Elementary,7-8
Brockville,St Francis Xavier Separate School,Catholic,Elementary,JK-6
Smiths Falls,St Francis de Sales Separate School,Catholic,Elementary,JK-6
Brockville,St John Bosco Catholic School,Catholic,Elementary,JK-6
Perth Road,St John Catholic High School,Catholic,Secondary,9-12
Perth,St John Elementary School,Catholic,Elementary,JK-6
Cornwall,St Joseph's Secondary School,Catholic,Secondary,9-12
Toledo,St Joseph's Separate School,Catholic,Elementary,JK-8
Gananoque,St Joseph's Separate School,Catholic,Elementary,JK-8
Vankleek Hill,St Jude's Catholic Elementary School,Catholic,Elementary,JK-8
Brockville,St Mary's High School,Catholic,Secondary,9-12
Brockville,St Mary's Separate School,Catholic,Elementary,7-8
Carleton Place,St Mary's Separate School,Catholic,Elementary,4-8
Chesterville,St Mary's Separate School,Catholic,Elementary,JK-6
Morrisburg,St Mary-St Cecilia Catholic School,Catholic,Elementary,JK-8
Kemptville,St Michael Elementary School,Catholic,Elementary,7-8
Kemptville,St Michael High School,Catholic,Secondary,9-12
Rockland,St Patrick Catholic Elementary School,Catholic,Elementary,JK-6
Cornwall,St Peter's School,Catholic,Elementary,JK-6
Carleton Place,St. Gregory Catholic School,Catholic,Elementary,JK-3
Smiths Falls,St. James Catholic Education Centre High School,Catholic,Secondary,9-12
Smiths Falls,St. James Intermediate,Catholic,Elementary,7-8
Perth,St. John Intermediate School,Catholic,Elementary,7-8
Cornwall,St. Joseph Intermediate Catholic School,Catholic,Elementary,7-8
Smiths Falls,St. Luke Catholic High School,Catholic,Secondary,9-12
Smiths Falls,St. Luke Catholic School,Catholic,Elementary,7-8
Prescott,St. Mark Catholic School,Catholic,Elementary,JK-8
Cornwall,St. Matthew Catholic Elementary School,Catholic,Elementary,7-8
Russell,St. Thomas Aquinas Catholic High School,Catholic,Secondary,9-12
Russell,St. Thomas Aquinas Catholic School,Catholic,Elementary,6-8
Ottawa,CHEO School,Hospital,Elementary,JK-4
Scarborough,Académie Alexandre-Dumas,Public,Elementary,JK-6
Borden,Académie La Pinède,Public,Elementary,JK-6
Aurora,Académie de la Moraine,Public,Elementary,JK-6
London,Académie de la Tamise,Public,Elementary,JK-6
Toronto,Collège français secondaire,Public,Secondary,9-12
Toronto,Collège français élémentaire,Public,Elementary,7-8
Welland,École intermédiaire Franco-Niagara,Public,Elementary,7-8
Pickering,École intermédiaire Ronald-Marion,Public,Elementary,7-8
Kitchener,École secondaire David Saint-Jacques,Public,Secondary,9-12
Sarnia,École secondaire Franco-Jeunesse,Public,Secondary,9-12
Welland,École secondaire Franco-Niagara,Public,Secondary,9-12
London,École secondaire Gabriel-Dumont,Public,Secondary,9-12
OAKVILLE,École secondaire Gaétan Gervais,Public,Secondary,9-12
Hamilton,École secondaire Georges-P-Vanier,Public,Secondary,9-12
Brampton,École secondaire Jeunes sans frontières,Public,Secondary,9-12
Penetanguishene,École secondaire Le Caron,Public,Secondary,9-12
Richmond Hill,École secondaire Norval-Morrisseau,Public,Secondary,9-12
Barrie,École secondaire Roméo Dallaire,Public,Secondary,9-12
Pickering,École secondaire Ronald-Marion,Public,Secondary,9-12
Toronto,École secondaire Toronto Ouest,Public,Secondary,9-12
WINDSOR,École secondaire de Lamothe-Cadillac,Public,Secondary,9-12
North York,École secondaire Étienne-Brûlé,Public,Secondary,9-12
Oshawa,École élémentaire Antonine Maillet,Public,Elementary,JK-6
Brampton,École élémentaire Carrefour des Jeunes,Public,Elementary,JK-6
East Gwillimbury,École élémentaire Chantal-Benoit,Public,Elementary,JK-6
Toronto,École élémentaire Charles-Sauriol,Public,Elementary,JK-6
Kitchener,École élémentaire David-Saint-Jacques,Public,Elementary,7-8
Milton,École élémentaire Dyane-Adam,Public,Elementary,JK-6
Sarnia,École élémentaire Franco-Jeunesse,Public,Elementary,7-8
Welland,École élémentaire Franco-Niagara,Public,Elementary,JK-6
Etobicoke,École élémentaire Félix-Leclerc,Public,Elementary,JK-6
London,École élémentaire Gabriel-Dumont,Public,Elementary,7-8
Toronto,École élémentaire Gabrielle-Roy,Public,Elementary,JK-6
Oakville,École élémentaire Gaetan-Gervais,Public,Elementary,7-8
Hamilton,École élémentaire Georges-P-Vanier,Public,Elementary,7-8
Mississauga,École élémentaire Horizon Jeunesse,Public,Elementary,JK-6
North York,École élémentaire Jeanne-Lajoie,Public,Elementary,JK-6
Brampton,École élémentaire Jeunes sans frontières,Public,Elementary,7-8
Windsor,École élémentaire L'Envolée,Public,Elementary,JK-6
Waterloo,École élémentaire L'Harmonie,Public,Elementary,JK-8
St. Catharines,École élémentaire L'Héritage,Public,Elementary,JK-8
Guelph,École élémentaire L'Odyssée,Public,Elementary,JK-6
Kleinburg,École élémentaire La Fontaine,Public,Elementary,JK-6
East York,École élémentaire La Mosaïque,Public,Elementary,JK-6
London,École élémentaire La Pommeraie,Public,Elementary,JK-6
Barrie,École élémentaire La Source,Public,Elementary,JK-6
Niagara Falls,École élémentaire LaMarsh,Public,Elementary,JK-8
Scarborough,École élémentaire Laure-Rièse,Public,Elementary,JK-6
Penetanguishene,École élémentaire Le Caron,Public,Elementary,7-8
Mississauga,École élémentaire Le Flambeau,Public,Elementary,JK-6
Sarnia,École élémentaire Les Rapides,Public,Elementary,JK-6
Windsor,École élémentaire Louise-Charron,Public,Elementary,JK-6
London,École élémentaire Marie-Curie,Public,Elementary,JK-6
North York,École élémentaire Mathieu-da-Costa,Public,Elementary,JK-6
Etobicoke,École élémentaire Micheline-Saint-Cyr,Public,Elementary,JK-6
Richmond Hill,École élémentaire Norval-Morrisseau,Public,Elementary,7-8
Welland,École élémentaire Nouvel Horizon,Public,Elementary,JK-6
Oakville,École élémentaire Patricia-Picknell,Public,Elementary,JK-6
North York,École élémentaire Paul-Demers,Public,Elementary,JK-6
Hamilton,École élémentaire Pavillon de la jeunesse,Public,Elementary,JK-6
Toronto,École élémentaire Pierre-Elliott-Trudeau,Public,Elementary,JK-6
Burlington,École élémentaire Renaissance,Public,Elementary,JK-6
Barrie,École élémentaire Roméo Dallaire,Public,Elementary,7-8
Pickering,École élémentaire Ronald-Marion,Public,Elementary,JK-6
Penetanguishene,École élémentaire Saint-Joseph,Public,Elementary,JK-6
Toronto,École élémentaire Toronto Ouest,Public,Elementary,7-8
Bowmanville,École élémentaire Viola-Léger,Public,Elementary,JK-6
WINDSOR,École élémentaire de Lamothe-Cadillac,Public,Elementary,7-8
Orangeville,École élémentaire des Quatre-Rivières,Public,Elementary,JK-8
OAKVILLE,École élémentaire du Chêne,Public,Elementary,JK-6
North York,École élémentaire Étienne-Brûlé,Public,Elementary,7-8
Toronto,ÉIC Monseigneur-de-Charbonnel,Catholic,Elementary,7-8
Hamilton,ÉIC Mère-Teresa,Catholic,Elementary,7-8
Barrie,ÉIC Nouvelle-Alliance,Catholic,Elementary,7-8
Toronto,ÉIC Père-Philippe-Lamarche,Catholic,Elementary,7-8
Cambridge,ÉIC Père-René-de-Galinée,Catholic,Elementary,7-8
Maple,ÉIC Renaissance,Catholic,Elementary,7-8
Whitby,ÉIC Saint-Charles-Garnier,Catholic,Elementary,7-8
TORONTO,ÉIC Saint-Frère-André,Catholic,Elementary,7-8
Welland,ÉIC Saint-Jean-de-Brébeuf,Catholic,Elementary,7-8
Mississauga,ÉIC Sainte-Famille,Catholic,Elementary,7-8
Oakville,ÉIC Sainte-Trinité,Catholic,Elementary,7-8
Hamilton,ÉSAC Mère-Teresa,Catholic,Secondary,9-12
Peterborough,ÉSC Monseigneur-Jamot,Catholic,Secondary,9-12
Toronto,ÉSC Monseigneur-de-Charbonnel,Catholic,Secondary,9-12
Barrie,ÉSC Nouvelle-Alliance,Catholic,Secondary,9-12
Stouffville,ÉSC Pape-François,Catholic,Secondary,9-12
Toronto,ÉSC Père-Philippe-Lamarche,Catholic,Secondary,9-12
Cambridge,ÉSC Père-René-de-Galinée,Catholic,Secondary,9-12
Aurora,ÉSC Renaissance,Catholic,Secondary,9-12
Whitby,ÉSC Saint-Charles-Garnier,Catholic,Secondary,9-12
TORONTO,ÉSC Saint-Frère-André,Catholic,Secondary,9-12
Welland,ÉSC Saint-Jean-de-Brébeuf,Catholic,Secondary,9-12
Mississauga,ÉSC Sainte-Famille,Catholic,Secondary,9-12
Oakville,ÉSC Sainte-Trinité,Catholic,Secondary,9-12
Mississauga,ÉÉC Ange-Gabriel,Catholic,Elementary,JK-6
Kitchener,ÉÉC Cardinal-Léger,Catholic,Elementary,JK-6
Oshawa,ÉÉC Corpus-Christi,Catholic,Elementary,JK-6
Barrie,ÉÉC Frère-André,Catholic,Elementary,JK-6
Toronto,ÉÉC Georges-Étienne-Cartier,Catholic,Elementary,JK-6
St Catharines,ÉÉC Immaculée-Conception,Catholic,Elementary,JK-8
East Gwillimbury,ÉÉC Jean-Béliveau,Catholic,Elementary,JK-6
Whitby,ÉÉC Jean-Paul II,Catholic,Elementary,JK-6
Vaughan,ÉÉC Le-Petit-Prince,Catholic,Elementary,JK-8
Borden,ÉÉC Marguerite-Bourgeois-Borden,Catholic,Elementary,JK-8
Peterborough,ÉÉC Monseigneur-Jamot,Catholic,Elementary,JK-8
Hamilton,ÉÉC Monseigneur-de-Laval,Catholic,Elementary,JK-8
Waterloo,ÉÉC Mère-Élisabeth-Bruyère,Catholic,Elementary,JK-6
Hamilton,ÉÉC Notre-Dame,Catholic,Elementary,JK-8
Etobicoke,ÉÉC Notre-Dame-de-Grâce,Catholic,Elementary,JK-6
Collingwood,ÉÉC Notre-Dame-de-la-Huronie,Catholic,Elementary,JK-8
Ajax,ÉÉC Notre-Dame-de-la-Jeunesse-Ajax,Catholic,Elementary,JK-6
Niagara Falls,ÉÉC Notre-Dame-de-la-Jeunesse-Niagara.F,Catholic,Elementary,JK-8
Stouffville,ÉÉC Pape-François,Catholic,Elementary,JK-8
Mississauga,ÉÉC René-Lamoureux,Catholic,Elementary,JK-6
Niagara Falls,ÉÉC Saint-Antoine,Catholic,Elementary,JK-8
Welland,ÉÉC Saint-François-d'Assise,Catholic,Elementary,JK-8
Aurora,ÉÉC Saint-Jean,Catholic,Elementary,JK-6
Mississauga,ÉÉC Saint-Jean-Baptiste,Catholic,Elementary,JK-8
Caledon,ÉÉC Saint-Jean-Bosco,Catholic,Elementary,JK-6
Toronto,ÉÉC Saint-Jean-de-Lalande,Catholic,Elementary,JK-8
Port Colborne,ÉÉC Saint-Joseph,Catholic,Elementary,JK-8
Penetanguishene,ÉÉC Saint-Louis,Catholic,Elementary,JK-8
TORONTO,ÉÉC Saint-Michel,Catholic,Elementary,JK-6
MILTON,ÉÉC Saint-Nicolas,Catholic,Elementary,JK-6
Cambridge,ÉÉC Saint-Noël-Chabanel-Cambridge,Catholic,Elementary,JK-6
Etobicoke,ÉÉC Saint-Noël-Chabanel-Toronto,Catholic,Elementary,JK-6
Burlington,ÉÉC Saint-Philippe,Catholic,Elementary,JK-8
Guelph,ÉÉC Saint-René-Goupil,Catholic,Elementary,JK-8
Milton,ÉÉC Sainte-Anne,Catholic,Elementary,JK-6
Tiny,ÉÉC Sainte-Croix,Catholic,Elementary,JK-8
Brampton,ÉÉC Sainte-Jeanne-d'Arc,Catholic,Elementary,JK-8
Toronto,ÉÉC Sainte-Madeleine,Catholic,Elementary,JK-6
Brantford,ÉÉC Sainte-Marguerite-Bourgeoys-Brantfrd,Catholic,Elementary,JK-8
Markham,ÉÉC Sainte-Marguerite-Bourgeoys-Markham,Catholic,Elementary,JK-8
St Catharines,ÉÉC Sainte-Marguerite-Bourgeoys-St.Cath,Catholic,Elementary,JK-8
Toronto,ÉÉC Sainte-Marguerite-d'Youville,Catholic,Elementary,JK-8
Oakville,ÉÉC Sainte-Marie-Oakville,Catholic,Elementary,JK-8
Norfolk,ÉÉC Sainte-Marie-Simcoe,Catholic,Elementary,JK-8
Orillia,ÉÉC Samuel-de-Champlain,Catholic,Elementary,JK-6
Toronto,ÉÉC du Bon-Berger,Catholic,Elementary,JK-6
Georgetown,ÉÉC du Sacré-Coeur-Georgetown,Catholic,Elementary,JK-8
Toronto,ÉÉC du Sacré-Coeur-Toronto,Catholic,Elementary,JK-6
Welland,ÉÉC du Sacré-Coeur-Welland,Catholic,Elementary,JK-8
