schoolLocation,schoolName,schoolType,schoolLevel,gradeRange
Toronto,William J McCordic School,Public,Elementary,JK-8
Toronto,William Lyon Mackenzie Collegiate Institute,Public,Secondary,9-12
Toronto,Williamson Road Junior Public School,Public,Elementary,JK-6
Scarborough,Willow Park Junior Public School,Public,Elementary,JK-6
North York,Willowdale Middle School,Public,Elementary,6-8
North York,Wilmington Elementary School,Public,Elementary,JK-3
Toronto,Winchester Junior and Senior Public School,Public,Elementary,JK-8
Toronto,Winona Drive Senior Public School,Public,Elementary,7-8
Toronto,Winston Churchill Collegiate Institute,Public,Secondary,9-12
Toronto,Withrow Avenue Junior Public School,Public,Elementary,JK-6
Toronto,Woburn Collegiate Institute,Public,Secondary,9-12
Scarborough,Woburn Junior Public School,Public,Elementary,JK-6
Toronto,York Memorial Collegiate Institute,Public,Secondary,9-12
Toronto,York Mills Collegiate Institute,Public,Secondary,9-12
North York,Yorkview Public School,Public,Elementary,JK-5
North York,Yorkwoods Public School,Public,Elementary,JK-5
Toronto,da Vinci School,Public,Elementary,JK-6
Etobicoke,Étienne Brûlé Junior School,Public,Elementary,JK-5
Lindsay,Alexandra Public School,Public,Elementary,JK-6
Minden,Archie Stouffer Elementary School,Public,Elementary,JK-8
Bobcaygeon,Bobcaygeon Public School,Public,Elementary,JK-8
Bracebridge,Bracebridge Public School,Public,Elementary,JK-8
Bracebridge,Bracebridge and Muskoka Lakes Secondary School,Public,Secondary,9-12
Cardiff,Cardiff Elementary School,Public,Elementary,JK-3
Lindsay,Central Senior School,Public,Elementary,7-8
Little Britain,Dr George Hall Public School,Public,Elementary,JK-8
Dunsford,Dunsford District Elementary School,Public,Elementary,JK-8
Fenelon Falls,Fenelon Falls Secondary School,Public,Secondary,9-12
Cameron,Fenelon Twp Public School,Public,Elementary,JK-8
Port Carling,Glen Orchard Public School,Public,Elementary,JK-8
Bethany,Grandview Public School,Public,Elementary,JK-6
Gravenhurst,Gravenhurst High School,Public,Secondary,9-12
Gravenhurst,Gravenhurst Public School,Public,Elementary,JK-8
Haliburton,Haliburton Highland Secondary School,Public,Secondary,9-12
Honey Harbour,Honey Harbour Public School,Public,Elementary,JK-8
Huntsville,Huntsville High School,Public,Secondary,9-12
Huntsville,Huntsville Public School,Public,Elementary,JK-8
Lindsay,I E Weldon Secondary School,Public,Secondary,9-12
Dwight,Irwin Memorial Public School,Public,Elementary,JK-8
Haliburton,J Douglas Hodgson Elementary School,Public,Elementary,1-8
Lindsay,Jack Callaghan Public School,Public,Elementary,JK-8
